Item,Description,Quantity,Product link,Price w/ Tax ($),Running Total
Capacitor,1uF,2,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,$0.03,$0.03
Capacitor,0.1uF,4,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,$0.07,$0.10
Capacitor,10uF,1,https://jlcpcb.com/partdetail/2043-CL10A106MQ8NNNC/C1691,$0.09,$0.19
Capacitor,15pF,2,https://jlcpcb.com/partdetail/1914-0402CG150J500NT/C1547,$0.01,$0.20
Resistor,5.1k,2,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,$0.01,$0.21
Resistor,470,1,https://jlcpcb.com/partdetail/UNIROYAL-0402WGF4700TCE/C25130,$0.01,$0.22
Resistor,4.7k,2,https://jlcpcb.com/partdetail/UNIROYAL-0402WGF4701TCE/C25867,$0.01,$0.23
Resistor,10k,1,https://jlcpcb.com/partdetail/UNIROYAL-0402WGF1002TCE/C25744,$0.01,$0.24
Resistor,27,2,https://jlcpcb.com/partdetail/UNIROYAL-0402WGF270JTCE/C25100,$0.01,$0.25
Resistor,1k,1,https://jlcpcb.com/partdetail/UNIROYAL-0402WGF1001TCE/C11702,$0.01,$0.26
SW_Push,Tactile Button,2,https://jlcpcb.com/partdetail/XKBConnectivity-TS-1187A-B-A-B/C318884,$0.42,$1.10
LED,Indicator LED 0402,1,https://jlcpcb.com/partdetail/Honglitronic-HL-LED0402R/C2290,$0.02,$1.12
WS2812B,RGB LED,1,https://jlcpcb.com/partdetail/Worldsemi-WS2812B_BT/C2761795,$0.20,$1.32
RP2040,Microcontroller,1,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,$4.58,$5.90
USB Receptacle,USB-C 16P,1,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,$0.85,$6.75
ATECC608A,Secure Element,1,https://jlcpcb.com/partdetail/MicrochipTech-ATECC608ASSHDA/C148118,$1.97,$8.72
W25Q128JVS,Flash Storage,1,https://jlcpcb.com/partdetail/WinbondElec-W25Q128JVSIQ/C97521,$2.67,$11.39
Crystal,12MHz 3225,1,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002,$0.32,$11.71
Conn_01x03,Pin Header 1x3,1,https://jlcpcb.com/partdetail/BOOMELE-BM03B-SRSS-TB/C42431804,$0.05,$11.76
Conn_01x20,Pin Header 1x20,2,https://jlcpcb.com/partdetail/BOOMELE-BM20B-SRSS-TB/C42431804,$0.17,$11.93
Onyx2040 PCBA,PCBA board assembly,1,N/A (https://cart.jlcpcb.com/),$43.94,$55.87
